Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultScore,100m,Long Jump,Shot Put,High Jump,400m,110m Hurdles,Discus Throw,Pole Vault,Javelin Throw,1500m
390,8390,Lindon VICTOR,28 FEB 1993,GRN,1,"Eugene, OR (USA)",08 JUN 2017,1187,10.72,7.34,16.31,2.01,49.33,14.78,53.31,4.61,67.24,4:55.71
396,8388,Carlos Eduardo BEZERRA CHININ,03 MAY 1985,BRA,6,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1186,10.78,7.54,14.49,1.96,48.80,14.05,45.84,5.10,59.98,4:36.01
397,8387,Yordani GARCÍA,21 NOV 1988,CUB,7,"Olympiastadion, Berlin (GER)",20 AUG 2009,1186,10.60,7.05,15.15,2.08,48.34,14.08,44.40,4.70,69.37,4:49.45
398,8386,Erki NOOL,25 JUN 1970,EST,4,"New York, NY (USA)",20 JUL 1998,1186,10.89,7.77,14.77,1.87,47.10,14.67,41.45,5.10,71.91,4:46.59
399,8385,Tomáš DVOŘÁK,11 MAY 1972,CZE,6,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1186,10.91,7.50,15.91,1.97,49.11,14.34,47.15,4.40,69.94,4:32.23
399,8385,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,3,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,1186,10.90,7.03,15.72,2.15,49.29,15.15,49.58,4.80,63.02,4:32.17
401,8384,Dmitriy KARPOV,23 JUL 1981,KAZ,6,Doha (QAT),11 DEC 2006,1186
402,8383,Trey HARDEE,07 FEB 1984,USA,2,"Hayward Field, Eugene, OR (USA)",23 JUN 2012,1186,10.50,7.55,15.72,1.99,49.11,13.71,49.05,5.00,57.00,5:08.67
403,8382,Rico FREIMUTH,14 MAR 1988,GER,7,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1185,10.60,7.22,14.80,1.99,48.05,13.90,48.74,4.90,56.21,4:37.83
404,8381,Uwe FREIMUTH,10 SEP 1961,GDR,1,Götzis (AUT),19 JUN 1988,1185,11.18,7.68,15.80,1.96,48.77,14.88,47.96,4.90,62.84,4:29.37
404,8381,Aleksandr POGORELOV,10 JAN 1980,RUS,3,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,1185,11.06,7.53,16.54,2.09,51.57,14.30,50.17,4.80,65.57,4:53.94
404,8381,Yordani GARCÍA,21 NOV 1988,CUB,1,La Habana (CUB),20 MAR 2010,1185,10.5,7.22,15.78,2.04,49.1,14.2,46.79,4.90,64.68,4:43.5
404,8381,Oleksiy KASYANOV,26 AUG 1985,UKR,1,Kladno (CZE),16 JUN 2010,1185,10.69,7.79,15.24,2.00,48.07,14.24,47.03,4.70,50.78,4:27.93
404,8381,Jorge UREÑA,08 OCT 1993,ESP,2,"Stadionring, Ratingen (GER)",18 JUN 2023,1185,10.78,7.35,14.42,2.04,48.39,14.00,39.37,4.90,64.00,4:24.04
409,8380,Roman ŠEBRLE,26 NOV 1974,CZE,1f,Catania (ITA),30 AUG 1997,1185,10.70,7.72,15.09,2.07,48.76,14.48,42.34,4.80,65.60,4:48.34
409,8380,Tomáš DVOŘÁK,11 MAY 1972,CZE,2f,Talence (FRA),14 SEP 1997,1185,10.82,7.50,15.94,1.98,49.03,14.03,45.50,4.60,69.66,4:48.22
409,8380,Oleksandr YURKOV,21 JUL 1975,UKR,1,Arles (FRA),01 JUL 2001,1185,10.97,7.62,14.60,2.01,49.77,14.48,46.08,5.30,58.76,4:37.92
409,8380,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,Kladno (CZE),09 JUN 2013,1185,11.23,7.64,14.96,2.09,49.17,14.14,47.11,4.82,62.52,4:41.08
409,8380,Rico FREIMUTH,14 MAR 1988,GER,4,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,1185,10.53,7.54,15.47,1.91,48.70,13.99,48.07,4.80,60.96,4:46.16
414,8379,Robert ZMĚLÍK,18 APR 1969,TCH,4,"National Stadium, Tokyo (JPN)",30 AUG 1991,1185,10.85,7.84,13.42,2.00,49.48,14.07,44.04,5.00,57.80,4:21.24
414,8379,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,1,"Ullevi Stadium, Göteborg (SWE)",01 AUG 1999,1185,11.19,7.31,14.88,2.19,48.37,15.09,45.48,4.80,60.63,4:20.94
414,8379,Lindon VICTOR,28 FEB 1993,GRN,1,"Eugene, OR (USA)",09 JUN 2016,1185,10.60,7.34,15.62,1.95,48.73,14.68,53.46,4.50,65.63,4:43.81
417,8378,Ilya SHKURENYOV,11 JAN 1991,RUS,1,Aubagne (FRA),05 JUL 2015,1185,11.05,7.55,14.24,2.10,49.40,14.32,45.99,5.30,56.93,4:39.51
418,8377,Simon EHAMMER,07 FEB 2000,SUI,3,"Mösle-Stadium, Götzis (AUT)",29 MAY 2022,1185,10.46,8.45,14.42,2.03,48.44,13.75,36.98,5.10,55.98,5:08.51
419,8374,Dmitriy KARPOV,23 JUL 1981,KAZ,3,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,1184,10.72,7.75,15.51,2.12,47.33,13.95,47.38,4.40,47.53,4:37.70
419,8374,Pascal BEHRENBRUCH,19 JAN 1985,GER,3,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,1184,10.88,7.07,16.37,1.88,48.93,14.02,48.86,4.70,70.24,4:38.39
421,8373,Aleksey DROZDOV,03 DEC 1983,RUS,4,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,1184,11.10,7.20,15.97,2.12,50.63,15.02,47.04,5.00,68.97,4:39.62
421,8373,Leonel SUÁREZ,01 SEP 1987,CUB,1,Guadalajara (MEX),25 OCT 2011,1184,11.01,7.39,14.64,2.08,49.76,14.26,45.54,4.80,72.19,4:45.78
423,8372,Arthur ABELE,30 JUL 1986,GER,2,"Stadionring, Ratingen (GER)",22 JUN 2008,1184,10.85,7.35,12.90,2.02,47.98,13.90,41.75,4.80,64.56,4:15.35
424,8371,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,4,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1184,10.97,6.99,14.65,2.18,48.86,15.19,47.23,4.90,62.43,4:23.23
424,8371,André NIKLAUS,30 AUG 1981,GER,5,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1184,11.12,7.42,14.12,2.06,49.40,14.51,44.48,5.30,63.28,4:32.50
424,8371,Trey HARDEE,07 FEB 1984,USA,1,"Austin, TX (USA)",03 APR 2008,1184,10.40,7.23,13.26,1.93,47.76,13.99,52.68,5.25,58.96,5:02.18
424,8371,Janek ÕIGLANE,25 APR 1994,EST,4,"Olympic Stadium, London (GBR)",12 AUG 2017,1184,11.08,7.33,15.13,2.05,49.58,14.56,42.11,5.10,71.73,4:39.24
428,8370,Andrei KRAUCHANKA,04 JAN 1986,BLR,3,"Estadio Olímpico, Barcelona (ESP)",29 JUL 2010,1184,11.26,7.76,14.32,2.10,49.01,14.21,45.48,5.05,58.05,4:36.66
428,8370,Ilya SHKURENYOV,11 JAN 1991,RUS,8,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1184,10.97,7.35,13.88,2.05,48.39,14.34,44.06,5.40,59.46,4:36.95
430,8367,Cedric DUBLER,13 JAN 1995,AUS,2,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",20 DEC 2020,1183,10.79,7.62,13.24,2.11,47.84,14.34,41.70,5.00,62.48,4:41.05
431,8366,Simon POELMAN,27 MAY 1963,NZL,1,Christchurch (NZL),22 MAR 1987,1183,10.87,7.34,15.11,2.06,49.54,14.1,46.66,4.95,56.94,4:27.2
431,8366,Paul MEIER,27 JUL 1971,GER,1,Oulu (FIN),11 JUL 1993,1183,10.96,7.95,15.52,2.10,47.42,14.67,47.04,4.40,54.82,4:36.37
431,8366,Leonel SUÁREZ,01 SEP 1987,CUB,4,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,1183,11.23,7.16,13.89,2.09,48.37,14.42,44.67,4.60,70.64,4:16.70
431,8366,Kai KAZMIREK,28 JAN 1991,GER,1,"Ratinan Stadion, Tampere (FIN)",12 JUL 2013,1183,10.81,7.58,13.09,2.07,46.98,14.35,44.77,5.20,52.69,4:34.46
435,8365,Yordani GARCÍA,21 NOV 1988,CUB,2,La Habana (CUB),07 MAR 2009,1183,10.70,7.33,16.20,2.02,48.57,14.31,42.01,4.70,68.38,4:44.94
435,8365,Sergey SVIRIDOV,20 OCT 1990,RUS,1,"Adler, Sochi (RUS)",08 MAY 2012,1183,10.88,7.52,15.03,1.94,48.28,14.83,49.01,4.40,68.89,4:25.15
435,8365,Rico FREIMUTH,14 MAR 1988,GER,3,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1183,10.53,7.47,15.21,1.94,49.40,13.80,49.45,4.80,57.77,4:42.67
438,8364,Felipe DOS SANTOS,30 JUL 1994,BRA,1,"COTP Stadium, São Paulo (BRA)",12 DEC 2020,1183,10.40,7.64,14.04,2.07,48.01,14.01,42.46,4.90,59.82,4:55.83
439,8363,Chiel WARNERS,02 APR 1978,NED,5,Götzis (AUT),30 MAY 1999,1183,10.78,7.76,14.74,1.97,46.61,14.32,40.91,4.80,61.44,4:37.07
440,8362,Dave STEEN,14 NOV 1959,CAN,2,Götzis (AUT),19 JUN 1988,1182,11.01,7.78,13.35,1.99,47.70,14.71,42.86,5.10,60.06,4:21.10
440,8362,Thomas FAHNER,18 JUL 1966,GDR,3,Götzis (AUT),19 JUN 1988,1182,11.04,7.55,15.01,1.93,47.94,14.54,46.66,4.60,68.40,4:27.77
440,8362,Michael SMITH,16 SEP 1967,CAN,3,Götzis (AUT),30 MAY 1993,1182,10.87,7.76,15.30,2.05,48.25,14.72,46.80,4.60,66.44,4:52.38
440,8362,Henrik DAGÅRD,07 AUG 1969,SWE,2,"Olympiastadion, Helsinki (FIN)",13 AUG 1994,1182,10.69,7.45,14.93,1.93,46.71,14.15,44.36,4.80,62.52,4:40.49
440,8362,Erki NOOL,25 JUN 1970,EST,1f,Tallinn (EST),16 JUN 1996,1182,10.62,8.22,14.38,1.95,48.35,14.76,38.30,5.00,68.50,4:51.52
440,8362,Leo NEUGEBAUER,19 JUN 2000,GER,2,"Hayward Field, Eugene, OR (USA)",09 JUN 2022,1182,10.87,7.60,16.00,2.07,48.91,14.67,50.77,4.81,53.12,4:42.68
446,8360,Stefan SCHMID,06 MAY 1970,GER,7,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1182,10.93,7.58,14.58,1.97,48.14,14.49,44.38,5.00,67.46,4:43.20
447,8359,Henrik DAGÅRD,07 AUG 1969,SWE,2,Götzis (AUT),29 MAY 1994,1182,10.45,7.35,14.44,1.99,47.44,14.27,45.64,4.50,64.12,4:35.50
448,8358,Dan O'BRIEN,18 JUL 1966,USA,2,"Seattle, WA (USA)",25 JUL 1990,1182,10.99,7.91,15.16,2.08,48.38,14.44,46.34,4.55,57.40,4:36.63
449,8357,Francisco Javier BENET,25 MAR 1968,ESP,1,Castellón (ESP),06 JUN 1999,1182,10.80,7.67,14.30,1.94,48.70,13.91,43.58,5.00,64.16,4:42.15
449,8357,Aleksey SYSOYEV,08 MAR 1985,RUS,6,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1182,10.80,7.01,16.16,2.03,48.42,14.59,49.76,4.90,57.75,4:36.16
449,8357,Yunior DIAZ,28 APR 1987,CUB,8,"Olympiastadion, Berlin (GER)",20 AUG 2009,1182,10.66,7.72,14.54,2.02,46.15,14.56,43.52,4.60,60.09,4:40.58
452,8356,Lev LOBODIN,01 APR 1969,RUS,3,Talence (FRA),22 SEP 2002,1181,10.96,7.17,15.63,2.03,49.34,14.21,49.44,5.15,56.37,4:39.84
452,8356,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,2,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,1181,11.17,7.06,15.74,2.09,50.06,14.66,46.87,4.90,66.79,4:28.52
452,8356,Rico FREIMUTH,14 MAR 1988,GER,1,"Stadionring, Ratingen (GER)",29 JUN 2014,1181,10.40,7.34,14.54,1.92,48.23,13.78,49.61,4.70,60.08,4:45.12
452,8356,Maicel UIBO,27 DEC 1992,EST,1,"Eugene, OR (USA)",11 JUN 2015,1181,11.10,7.54,14.38,2.14,51.65,14.99,46.45,5.20,62.25,4:28.48
456,8354,Ilya SHKURENYOV,11 JAN 1991,RUS,1,Cheboksary (RUS),06 JUN 2013,1181,10.91,7.54,13.77,2.05,49.35,14.13,45.28,5.30,55.91,4:35.71
456,8354,Simon EHAMMER,07 FEB 2000,SUI,1,"Stadionring, Ratingen (GER)",08 MAY 2022,1181,10.65,8.30,14.68,2.04,48.30,13.75,39.13,5.00,53.01,4:57.55
456,8354,Ilya SHKURENYOV,11 JAN 1991,RUS,1,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",26 AUG 2022,1181,10.85,7.64,14.62,1.99,49.98,14.19,46.17,5.20,60.32,4:43.64
459,8353,Steve FRITZ,01 NOV 1967,USA,1,"Manhattan, KS (USA)",01 OCT 1995,1181,11.02,7.45,15.31,2.03,50.03,14.17,53.26,4.60,65.96,4:51.09
459,8353,Erki NOOL,25 JUN 1970,EST,3f,Talence (FRA),14 SEP 1997,1181,10.64,7.77,14.58,1.89,47.53,14.40,38.32,5.40,64.04,4:48.96
459,8353,Maicel UIBO,27 DEC 1992,EST,3,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,1181,11.22,7.28,14.95,2.15,50.93,14.68,46.38,5.30,62.50,4:37.95
462,8352,Torsten VOSS,24 MAR 1963,GDR,1,Krefeld (GER),08 SEP 1985,1181,10.73,7.55,14.86,1.98,48.18,14.33,42.36,5.10,57.66,4:32.49
462,8352,Lev LOBODIN,01 APR 1969,RUS,5,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1181,10.74,7.15,16.16,2.03,48.78,14.42,44.95,5.10,54.68,4:31.77
462,8352,Tom PAPPAS,06 SEP 1976,USA,1,"Indianapolis, IN (USA)",23 JUN 2007,1181,11.00,7.50,16.43,2.05,48.81,14.12,46.34,5.00,59.70,4:59.69
462,8352,Johannes ERM,26 MAR 1998,EST,1,"Austin, TX (USA)",06 JUN 2019,1181,10.88,7.72,14.69,1.95,47.40,14.32,44.42,5.01,56.27,4:33.38
466,8351,Christian SCHENK,09 FEB 1965,GDR,2,Götzis (AUT),18 JUN 1989,1181,11.24,7.63,15.08,2.17,48.88,14.89,43.82,4.50,63.80,4:23.16
466,8351,Chris HUFFINS,19 APR 1970,USA,2,"Sacramento, CA (USA)",15 JUN 1995,1181,10.33,7.93,15.69,2.00,48.61,14.33,51.16,4.60,54.54,5:09.86
466,8351,Frank BUSEMANN,26 FEB 1975,GER,7,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1181,10.91,7.64,14.52,2.09,48.97,14.16,33.71,5.00,64.91,4:25.32
466,8351,Manuel EITEL,28 JAN 1997,GER,5,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,1181,10.41,7.32,15.28,1.94,48.21,14.29,43.69,4.90,62.32,4:40.17
470,8350,Chris HUFFINS,19 APR 1970,USA,1,"Eugene, OR (USA)",25 JUN 1999,1180,10.45,7.65,15.28,2.12,49.41,13.93,47.96,4.80,54.92,5:10.00
470,8350,Aleksey DROZDOV,03 DEC 1983,RUS,3,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,1180,11.05,7.26,16.61,2.03,50.27,14.74,48.06,5.00,61.22,4:32.93
472,8349,Christian PLAZIAT,28 OCT 1963,FRA,4,Götzis (AUT),19 JUN 1988,1180,10.81,7.53,14.57,2.08,47.73,14.34,43.02,4.90,53.70,4:27.73
472,8349,Maurice SMITH,28 SEP 1980,JAM,2,"Stadionring, Ratingen (GER)",25 JUN 2006,1180,10.69,7.51,16.07,1.91,48.36,14.00,48.90,4.55,55.54,4:30.62
474,8348,Siegfried WENTZ,07 MAR 1960,FRG,1,Zagreb (CRO),17 JUL 1987,1180,10.85,7.27,15.27,2.07,48.00,14.29,44.18,4.70,65.30,4:41.88
474,8348,Roman ŠEBRLE,26 NOV 1974,CZE,4,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,1180,11.14,7.86,15.41,1.94,49.50,14.33,46.71,4.90,67.54,4:48.88
474,8348,Yordani GARCÍA,21 NOV 1988,CUB,1,"Stadionring, Ratingen (GER)",21 JUN 2009,1180,10.68,7.23,15.02,2.08,48.92,13.89,41.79,4.80,69.13,4:53.63
477,8347,Henrik DAGÅRD,07 AUG 1969,SWE,2,Vénissieux (FRA),03 JUL 1994,1180,10.65,7.45,14.88,1.98,47.31,14.31,42.94,4.90,64.08,4:47.15
477,8347,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Valladolid (ESP),02 JUL 1995,1180,10.74,7.73,15.40,2.01,48.34,14.39,42.26,4.60,61.32,4:31.96
477,8347,Dean MACEY,12 DEC 1977,GBR,1,Arles (FRA),30 MAY 1999,1180,10.65,7.52,14.05,2.09,47.49,14.61,45.21,4.55,60.00,4:31.61
477,8347,Leonel SUÁREZ,01 SEP 1987,CUB,1,La Habana (CUB),18 MAR 2016,1180,11.30,7.40,13.74,2.06,49.72,14.65,43.48,4.80,78.29,4:29.20
481,8346,Robert ZMĚLÍK,18 APR 1969,TCH,2,Götzis (AUT),16 JUN 1991,1180,10.78,7.71,13.17,2.11,48.20,13.82,38.66,5.00,57.20,4:33.03
481,8346,Janek ÕIGLANE,25 APR 1994,EST,3,"Olympiastadion, München (GER)",16 AUG 2022,1180,11.01,7.27,14.82,2.02,48.80,14.39,41.97,5.10,70.94,4:42.78
483,8345,Sébastien LEVICQ,25 JUN 1971,FRA,3,Praha (CZE),04 JUL 1999,1180,11.25,7.42,14.98,2.01,50.53,14.54,41.28,5.50,67.39,4:33.91
483,8345,Devon WILLIAMS,17 JAN 1994,USA,1,"Athens, GA (USA)",09 APR 2017,1180,10.72,7.75,14.20,1.96,48.14,13.83,46.29,4.57,60.26,4:36.79
485,8344,Zachery ZIEMEK,23 FEB 1993,USA,2,"Stade Pierre Paul Bernard, Talence (FRA)",23 JUN 2019,1180,10.89,7.62,14.04,2.13,50.34,14.96,49.36,5.25,57.49,4:46.55
486,8343,Steve FRITZ,01 NOV 1967,USA,5,Talence (FRA),11 SEP 1994,1179,10.92,7.50,14.68,2.00,49.68,14.20,44.70,4.90,67.46,4:38.91
486,8343,Chiel WARNERS,02 APR 1978,NED,5,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1179,10.62,7.74,14.48,1.97,47.97,14.01,43.73,4.90,55.39,4:38.05
486,8343,Willem COERTZEN,30 DEC 1982,RSA,9,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1179,10.95,7.44,13.88,2.05,48.32,14.30,43.25,4.50,69.35,4:24.60
486,8343,Ilya SHKURENYOV,11 JAN 1991,RUS,5,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,1179,11.07,7.47,13.76,2.00,49.00,14.02,44.97,5.20,59.49,4:28.69
490,8342,Pieter BRAUN,21 JAN 1993,NED,3,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,1179,11.12,7.62,15.28,2.00,49.25,14.40,45.52,4.90,58.77,4:24.29
491,8341,Willem COERTZEN,30 DEC 1982,RSA,2,"Stadionring, Ratingen (GER)",28 JUN 2015,1179,11.08,7.48,14.50,2.01,48.50,14.06,43.94,4.50,68.79,4:26.52
492,8340,André NIKLAUS,30 AUG 1981,GER,5,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,1179,11.07,7.49,13.83,2.06,49.38,14.34,45.73,5.00,62.87,4:30.92
493,8339,Jiří RYBA,15 JUN 1976,CZE,1,Desenzano del Garda (ITA),14 MAY 2000,1179,11.19,6.83,14.33,2.03,48.39,14.55,45.26,5.20,61.55,4:12.14
494,8337,Yordani GARCÍA,21 NOV 1988,CUB,1,La Habana (CUB),22 FEB 2014,1178,10.80,7.22,15.75,2.07,49.07,14.07,42.54,4.60,64.69,4:33.36
495,8336,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,Szczecin (POL),28 JUN 2009,1178,11.18,7.54,13.69,2.10,48.82,14.28,43.01,5.10,61.56,4:32.60
495,8336,Timothy DUCKWORTH,18 JUN 1996,GBR,1,"Eugene, OR (USA)",07 JUN 2018,1178,10.57,8.01,13.15,2.13,48.78,14.37,42.76,5.11,57.27,5:01.27
495,8336,Niklas KAUL,11 FEB 1998,GER,4,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,1178,11.25,7.10,15.10,1.97,49.05,14.70,46.90,4.80,71.49,4:20.52
495,8336,Daniel GOLUBOVIC,29 NOV 1993,AUS,1,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",19 DEC 2021,1178,11.03,7.22,14.86,2.00,48.58,14.09,47.66,4.90,56.95,4:22.52
499,8335,Adam Sebastian HELCELET,27 OCT 1991,CZE,4,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1178,10.87,7.32,14.89,2.00,49.50,14.19,44.35,5.00,68.04,4:43.69
500,8334,Aleksey DROZDOV,03 DEC 1983,RUS,1,Cheboksary (RUS),10 JUN 2011,1178,11.28,7.27,16.31,2.12,51.67,14.98,51.24,5.10,63.82,4:45.00
500,8334,Pieter BRAUN,21 JAN 1993,NED,5,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1178,10.90,7.71,14.82,2.00,49.09,14.40,42.66,5.00,58.49,4:28.14
500,8334,Cedric DUBLER,13 JAN 1995,AUS,1,"QSAC State Athletics Facility, Nathan, Brisbane (AUS)",17 DEC 2023,1178,10.90,7.90,13.29,2.08,47.20,14.14,41.60,5.00,53.85,4:37.60
503,8333,Paweł WIESIOŁEK,13 AUG 1991,POL,1,"Stadion Zygmunta Szelesta, Warszawa (POL)",27 JUN 2021,1178,10.74,7.68,14.87,1.96,48.40,14.60,41.70,5.00,59.40,4:27.92
503,8333,Kyle GARLAND,28 MAY 2000,USA,3,"Hayward Field, Eugene, OR (USA)",09 JUN 2022,1178,10.63,7.51,15.35,2.07,48.60,13.87,42.00,4.81,55.88,4:41.96
505,8332,Sebastian CHMARA,21 NOV 1971,POL,6,Götzis (AUT),31 MAY 1998,1178,11.04,7.51,15.70,2.12,48.49,14.29,43.32,5.00,55.41,4:43.15
505,8332,Jiří RYBA,15 JUN 1976,CZE,6,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1178,11.14,7.17,13.76,2.09,48.76,14.33,47.40,5.10,56.04,4:20.66
505,8332,Maurice SMITH,28 SEP 1980,JAM,5,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,1178,10.86,7.30,16.50,1.94,48.82,14.05,52.77,4.70,53.54,4:37.38
505,8332,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,8,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1178,11.24,7.66,12.84,2.16,49.63,15.01,43.58,5.40,62.09,4:34.21
509,8331,Torsten VOSS,24 MAR 1963,GDR,2,Götzis (AUT),24 MAY 1987,1178,10.59,7.78,14.84,2.05,47.94,14.39,42.42,4.70,54.10,4:33.28
509,8331,Vitaliy ZHUK,10 SEP 1996,BLR,4,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,1178,10.96,7.29,16.86,1.97,49.33,14.77,44.98,4.90,65.16,4:35.05
509,8331,Austin WEST,17 MAR 2000,USA,3,"Hayward Field, Eugene, OR (USA)",07 JUL 2023,1178,10.52,7.35,14.31,2.02,46.31,14.22,42.45,4.30,59.65,4:20.98
512,8330,Christian SCHENK,09 FEB 1965,GDR,5,Götzis (AUT),19 JUN 1988,1177,11.36,7.71,14.76,2.20,49.23,14.99,44.86,4.40,61.38,4:16.02
512,8330,Mikhail MEDVED,30 JAN 1964,URS,3,Kiev (URS),31 JUL 1988,1177,11.24,7.46,15.73,2.07,50.13,14.40,45.32,5.00,64.50,4:41.26
512,8330,Roman ŠEBRLE,26 NOV 1974,CZE,6,Götzis (AUT),01 JUN 1997,1177,10.93,7.67,14.30,2.06,48.13,14.27,42.32,4.80,65.06,4:44.35
515,8329,Kai KAZMIREK,28 JAN 1991,GER,4,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,1177,10.99,7.56,14.03,2.06,47.27,14.42,43.76,4.70,61.53,4:30.75
516,8328,Dave STEEN,14 NOV 1959,CAN,3,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1177,11.18,7.44,14.20,1.97,48.29,14.81,43.66,5.20,64.16,4:23.20
517,8327,Marcus NILSSON,03 MAY 1991,SWE,4,"Olympiastadion, München (GER)",16 AUG 2022,1177,11.39,7.00,15.69,1.99,49.77,14.88,46.06,5.20,66.69,4:18.51
518,8326,Michael SMITH,16 SEP 1967,CAN,1,Victoria (CAN),24 AUG 1994,1177,11.00,6.94,16.22,1.98,48.85,14.82,48.62,5.10,67.98,4:47.38
518,8326,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2005,1177,11.09,7.60,15.65,2.04,49.03,14.47,45.15,4.80,66.05,4:47.76
518,8326,Maicel UIBO,27 DEC 1992,EST,1,"Starkville, MS (USA)",15 MAY 2015,1177,11.19,7.44,14.16,2.18,50.89,15.01,48.33,5.20,56.92,4:28.57
518,8326,Rik TAAM,17 JAN 1997,NED,3,"Stadionring, Ratingen (GER)",18 JUN 2023,1177,10.73,7.33,14.56,1.83,47.18,14.47,47.29,5.00,57.63,4:20.99
522,8324,Steve FRITZ,01 NOV 1967,USA,7,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1176,10.83,7.52,13.87,2.03,48.40,13.99,41.62,4.90,57.68,4:23.56
522,8324,Oleksandr YURKOV,21 JUL 1975,UKR,1,Talence (FRA),16 SEP 2001,1176
524,8323,Tom PAPPAS,06 SEP 1976,USA,3,Brisbane (AUS),07 SEP 2001,1176,10.84,7.24,15.30,2.18,50.27,14.05,45.43,4.90,62.19,4:57.10
524,8323,Kevin MAYER,10 FEB 1992,FRA,2,"Stadionring, Ratingen (GER)",29 JUN 2014,1176,11.08,7.33,14.67,2.07,49.63,14.28,38.41,5.20,64.01,4:25.18
524,8323,Kai KAZMIREK,28 JAN 1991,GER,2,"Stadionring, Ratingen (GER)",26 JUN 2016,1176,10.79,7.57,14.78,2.07,48.46,14.40,40.59,5.00,59.54,4:38.52
524,8323,Kurt FELIX,04 JUL 1988,GRN,9,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1176,10.93,7.42,14.77,2.07,49.14,14.79,45.10,4.50,69.92,4:30.53
528,8322,Uwe FREIMUTH,10 SEP 1961,GDR,2,Götzis (AUT),25 MAY 1986,1176,11.23,7.57,15.80,1.93,49.50,14.79,47.98,4.90,64.78,4:29.22
528,8322,Roman ŠEBRLE,26 NOV 1974,CZE,1,Tallinn (EST),29 JUN 1997,1176,10.94,7.70,14.67,2.04,48.83,14.24,42.84,4.80,64.72,4:43.08
528,8322,Rico FREIMUTH,14 MAR 1988,GER,4,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,1176,10.62,7.16,15.14,1.91,47.51,13.79,47.26,4.86,58.05,4:40.55
528,8322,Eelco SINTNICOLAAS,07 APR 1987,NED,1,Nottwil (SUI),30 JUN 2013,1176,10.94,7.16,13.53,1.98,48.16,13.92,43.17,5.40,56.62,4:25.51
528,8322,Jorge UREÑA,08 OCT 1993,ESP,9,"National Stadium, Tokyo (JPN)",05 AUG 2021,1176,10.66,7.30,13.97,2.05,48.00,14.13,43.70,4.90,55.82,4:27.82
