Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Long Jump,Discus Throw,Javelin Throw,1500m,200m,ResultScore
398,8386,Erki NOOL,25 JUN 1970,EST,4,"New York, NY (USA)",20 JUL 1998,7.77,41.45,71.91,4:46.59,23.70,3797
399,8385,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,3,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,7.03,49.58,63.02,4:32.17,23.37,3886
402,8383,Trey HARDEE,07 FEB 1984,USA,2,"Hayward Field, Eugene, OR (USA)",23 JUN 2012,7.55,49.05,57,5:08.67,23.71,3402
403,8382,Rico FREIMUTH,14 MAR 1988,GER,7,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,7.22,48.74,56.21,4:37.83,24.56,3585
404,8381,Uwe FREIMUTH,10 SEP 1961,GDR,1,Götzis (AUT),19 JUN 1988,7.68,47.96,62.84,4:29.37,23.37,4029
404,8381,Aleksandr POGORELOV,10 JAN 1980,RUS,3,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,7.53,50.17,65.57,4:53.94,23.15,3798
404,8381,Yordani GARCÍA,21 NOV 1988,CUB,1,La Habana (CUB),20 MAR 2010,7.22,46.79,64.68,4:43.5,23.32,3764
404,8381,Oleksiy KASYANOV,26 AUG 1985,UKR,1,Kladno (CZE),16 JUN 2010,7.79,47.03,50.78,4:27.93,23.39,3881
404,8381,Jorge UREÑA,08 OCT 1993,ESP,2,"Stadionring, Ratingen (GER)",18 JUN 2023,7.35,39.37,64,4:24.04,23.56,3857
409,8380,Roman ŠEBRLE,26 NOV 1974,CZE,1f,Catania (ITA),30 AUG 1997,7.72,42.34,65.6,4:48.34,23.90,3665
409,8380,Tomáš DVOŘÁK,11 MAY 1972,CZE,2f,Talence (FRA),14 SEP 1997,7.5,45.5,69.66,4:48.22,23.88,3737
409,8380,Oleksandr YURKOV,21 JUL 1975,UKR,1,Arles (FRA),01 JUL 2001,7.62,46.08,58.76,4:37.92,23.25,3833
409,8380,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,Kladno (CZE),09 JUN 2013,7.64,47.11,62.52,4:41.08,23.73,3806
409,8380,Rico FREIMUTH,14 MAR 1988,GER,4,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,7.54,48.07,60.96,4:46.16,23.58,3736
414,8379,Robert ZMĚLÍK,18 APR 1969,TCH,4,"National Stadium, Tokyo (JPN)",30 AUG 1991,7.84,44.04,57.8,4:21.24,23.31,4030
414,8379,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,1,"Ullevi Stadium, Göteborg (SWE)",01 AUG 1999,7.31,45.48,60.63,4:20.94,23.83,3916
414,8379,Lindon VICTOR,28 FEB 1993,GRN,1,"Eugene, OR (USA)",09 JUN 2016,7.34,53.46,65.63,4:43.81,23.12,3949
417,8378,Ilya SHKURENYOV,11 JAN 1991,RUS,1,Aubagne (FRA),05 JUL 2015,7.55,45.99,56.93,4:39.51,22.92,3815
418,8377,Simon EHAMMER,07 FEB 2000,SUI,3,"Mösle-Stadium, Götzis (AUT)",29 MAY 2022,8.45,36.98,55.98,5:08.51,23.56,3383
419,8374,Dmitriy KARPOV,23 JUL 1981,KAZ,3,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,7.75,47.38,47.53,4:37.70,24.28,3592
419,8374,Pascal BEHRENBRUCH,19 JAN 1985,GER,3,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,7.07,48.86,70.24,4:38.39,23.93,3830
421,8373,Aleksey DROZDOV,03 DEC 1983,RUS,4,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,7.2,47.04,68.97,4:39.62,23.23,3885
421,8373,Leonel SUÁREZ,01 SEP 1987,CUB,1,Guadalajara (MEX),25 OCT 2011,7.39,45.54,72.19,4:45.78,23.60,3818
423,8372,Arthur ABELE,30 JUL 1986,GER,2,"Stadionring, Ratingen (GER)",22 JUN 2008,7.35,41.75,64.56,4:15.35,23.88,3974
424,8371,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,4,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,6.99,47.23,62.43,4:23.23,22.85,4007
424,8371,André NIKLAUS,30 AUG 1981,GER,5,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,7.42,44.48,63.28,4:32.50,23.91,3803
424,8371,Trey HARDEE,07 FEB 1984,USA,1,"Austin, TX (USA)",03 APR 2008,7.23,52.68,58.96,5:02.18,23.84,3491
424,8371,Janek ÕIGLANE,25 APR 1994,EST,4,"Olympic Stadium, London (GBR)",12 AUG 2017,7.33,42.11,71.73,4:39.24,23.44,3838
428,8370,Andrei KRAUCHANKA,04 JAN 1986,BLR,3,"Estadio Olímpico, Barcelona (ESP)",29 JUL 2010,7.76,45.48,58.05,4:36.66,23.14,3873
428,8370,Ilya SHKURENYOV,11 JAN 1991,RUS,8,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,7.35,44.06,59.46,4:36.95,23.76,3691
430,8367,Cedric DUBLER,13 JAN 1995,AUS,2,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",20 DEC 2020,7.62,41.7,62.48,4:41.05,23.11,3785
431,8366,Simon POELMAN,27 MAY 1963,NZL,1,Christchurch (NZL),22 MAR 1987,7.34,46.66,56.94,4:27.2,23.61,3843
431,8366,Paul MEIER,27 JUL 1971,GER,1,Oulu (FIN),11 JUL 1993,7.95,47.04,54.82,4:36.37,22.87,3937
431,8366,Leonel SUÁREZ,01 SEP 1987,CUB,4,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,7.16,44.67,70.64,4:16.70,23.32,4131
431,8366,Kai KAZMIREK,28 JAN 1991,GER,1,"Ratinan Stadion, Tampere (FIN)",12 JUL 2013,7.58,44.77,52.69,4:34.46,23.35,3745
435,8365,Yordani GARCÍA,21 NOV 1988,CUB,2,La Habana (CUB),07 MAR 2009,7.33,42.01,68.38,4:44.94,23.49,3712
435,8365,Sergey SVIRIDOV,20 OCT 1990,RUS,1,"Adler, Sochi (RUS)",08 MAY 2012,7.52,49.01,68.89,4:25.15,22.94,4209
435,8365,Rico FREIMUTH,14 MAR 1988,GER,3,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,7.47,49.45,57.77,4:42.67,22.72,3861
438,8364,Felipe DOS SANTOS,30 JUL 1994,BRA,1,"COTP Stadium, São Paulo (BRA)",12 DEC 2020,7.64,42.46,59.82,4:55.83,23.24,3564
439,8363,Chiel WARNERS,02 APR 1978,NED,5,Götzis (AUT),30 MAY 1999,7.76,40.91,61.44,4:37.07,23.34,3805
440,8362,Dave STEEN,14 NOV 1959,CAN,2,Götzis (AUT),19 JUN 1988,7.78,42.86,60.06,4:21.10,23.33,4026
440,8362,Thomas FAHNER,18 JUL 1966,GDR,3,Götzis (AUT),19 JUN 1988,7.55,46.66,68.4,4:27.77,22.70,4165
440,8362,Michael SMITH,16 SEP 1967,CAN,3,Götzis (AUT),30 MAY 1993,7.76,46.8,66.44,4:52.38,23.20,3811
440,8362,Henrik DAGÅRD,07 AUG 1969,SWE,2,"Olympiastadion, Helsinki (FIN)",13 AUG 1994,7.45,44.36,62.52,4:40.49,23.55,3746
440,8362,Erki NOOL,25 JUN 1970,EST,1f,Tallinn (EST),16 JUN 1996,8.22,38.3,68.5,4:51.52,23.33,3777
440,8362,Leo NEUGEBAUER,19 JUN 2000,GER,2,"Hayward Field, Eugene, OR (USA)",09 JUN 2022,7.6,50.77,53.12,4:42.68,22.78,3839
446,8360,Stefan SCHMID,06 MAY 1970,GER,7,"Olympic Stadium, Athina (GRE)",06 AUG 1997,7.58,44.38,67.46,4:43.20,23.45,3823
447,8359,Henrik DAGÅRD,07 AUG 1969,SWE,2,Götzis (AUT),29 MAY 1994,7.35,45.64,64.12,4:35.50,23.43,3848
448,8358,Dan O'BRIEN,18 JUL 1966,USA,2,"Seattle, WA (USA)",25 JUL 1990,7.91,46.34,57.4,4:36.63,23.34,3886
449,8357,Francisco Javier BENET,25 MAR 1968,ESP,1,Castellón (ESP),06 JUN 1999,7.67,43.58,64.16,4:42.15,22.49,3924
449,8357,Aleksey SYSOYEV,08 MAR 1985,RUS,6,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,7.01,49.76,57.75,4:36.16,23.75,3710
449,8357,Yunior DIAZ,28 APR 1987,CUB,8,"Olympiastadion, Berlin (GER)",20 AUG 2009,7.72,43.52,60.09,4:40.58,24.13,3675
452,8356,Lev LOBODIN,01 APR 1969,RUS,3,Talence (FRA),22 SEP 2002,7.17,49.44,56.37,4:39.84,23.01,3772
452,8356,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,2,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,7.06,46.87,66.79,4:28.52,24.62,3773
452,8356,Rico FREIMUTH,14 MAR 1988,GER,1,"Stadionring, Ratingen (GER)",29 JUN 2014,7.34,49.61,60.08,4:45.12,23.72,3703
452,8356,Maicel UIBO,27 DEC 1992,EST,1,"Eugene, OR (USA)",11 JUN 2015,7.54,46.45,62.25,4:28.48,23.20,3996
456,8354,Ilya SHKURENYOV,11 JAN 1991,RUS,1,Cheboksary (RUS),06 JUN 2013,7.54,45.28,55.91,4:35.71,23.89,3703
456,8354,Simon EHAMMER,07 FEB 2000,SUI,1,"Stadionring, Ratingen (GER)",08 MAY 2022,8.3,39.13,53.01,4:57.55,24.02,3424
456,8354,Ilya SHKURENYOV,11 JAN 1991,RUS,1,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",26 AUG 2022,7.64,46.17,60.32,4:43.64,22.94,3831
459,8353,Steve FRITZ,01 NOV 1967,USA,1,"Manhattan, KS (USA)",01 OCT 1995,7.45,53.26,65.96,4:51.09,24.46,3703
459,8353,Erki NOOL,25 JUN 1970,EST,3f,Talence (FRA),14 SEP 1997,7.77,38.32,64.04,4:48.96,23.21,3665
459,8353,Maicel UIBO,27 DEC 1992,EST,3,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,7.28,46.38,62.5,4:37.95,23.42,3795
462,8352,Torsten VOSS,24 MAR 1963,GDR,1,Krefeld (GER),08 SEP 1985,7.55,42.36,57.66,4:32.49,23.60,3755
462,8352,Lev LOBODIN,01 APR 1969,RUS,5,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,7.15,44.95,54.68,4:31.77,23.05,3757
462,8352,Tom PAPPAS,06 SEP 1976,USA,1,"Indianapolis, IN (USA)",23 JUN 2007,7.5,46.34,59.7,4:59.69,23.79,3481
462,8352,Johannes ERM,26 MAR 1998,EST,1,"Austin, TX (USA)",06 JUN 2019,7.72,44.42,56.27,4:33.38,23.09,3868
466,8351,Christian SCHENK,09 FEB 1965,GDR,2,Götzis (AUT),18 JUN 1989,7.63,43.82,63.8,4:23.16,23.60,4002
466,8351,Chris HUFFINS,19 APR 1970,USA,2,"Sacramento, CA (USA)",15 JUN 1995,7.93,51.16,54.54,5:09.86,23.01,3568
466,8351,Frank BUSEMANN,26 FEB 1975,GER,7,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,7.64,33.71,64.91,4:25.32,23.44,3829
466,8351,Manuel EITEL,28 JAN 1997,GER,5,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,7.32,43.69,62.32,4:40.17,24.12,3630
470,8350,Chris HUFFINS,19 APR 1970,USA,1,"Eugene, OR (USA)",25 JUN 1999,7.65,47.96,54.92,5:10.00,23.12,3437
470,8350,Aleksey DROZDOV,03 DEC 1983,RUS,3,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,7.26,48.06,61.22,4:32.93,23.25,3889
472,8349,Christian PLAZIAT,28 OCT 1963,FRA,4,Götzis (AUT),19 JUN 1988,7.53,43.02,53.7,4:27.73,23.23,3816
472,8349,Maurice SMITH,28 SEP 1980,JAM,2,"Stadionring, Ratingen (GER)",25 JUN 2006,7.51,48.9,55.54,4:30.62,23.93,3816
474,8348,Siegfried WENTZ,07 MAR 1960,FRG,1,Zagreb (CRO),17 JUL 1987,7.27,44.18,65.3,4:41.88,23.43,3741
474,8348,Roman ŠEBRLE,26 NOV 1974,CZE,4,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,7.86,46.71,67.54,4:48.88,22.87,3935
474,8348,Yordani GARCÍA,21 NOV 1988,CUB,1,"Stadionring, Ratingen (GER)",21 JUN 2009,7.23,41.79,69.13,4:53.63,23.27,3618
477,8347,Henrik DAGÅRD,07 AUG 1969,SWE,2,Vénissieux (FRA),03 JUL 1994,7.45,42.94,64.08,4:47.15,22.93,3742
477,8347,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Valladolid (ESP),02 JUL 1995,7.73,42.26,61.32,4:31.96,24.11,3782
477,8347,Dean MACEY,12 DEC 1977,GBR,1,Arles (FRA),30 MAY 1999,7.52,45.21,60,4:31.61,23.25,3892
477,8347,Leonel SUÁREZ,01 SEP 1987,CUB,1,La Habana (CUB),18 MAR 2016,7.4,43.48,78.29,4:29.20,23.61,4074
481,8346,Robert ZMĚLÍK,18 APR 1969,TCH,2,Götzis (AUT),16 JUN 1991,7.71,38.66,57.2,4:33.03,24.34,3609
481,8346,Janek ÕIGLANE,25 APR 1994,EST,3,"Olympiastadion, München (GER)",16 AUG 2022,7.27,41.97,70.94,4:42.78,23.19,3801
483,8345,Sébastien LEVICQ,25 JUN 1971,FRA,3,Praha (CZE),04 JUL 1999,7.42,41.28,67.39,4:33.91,24.04,3768
483,8345,Devon WILLIAMS,17 JAN 1994,USA,1,"Athens, GA (USA)",09 APR 2017,7.75,46.29,60.26,4:36.79,23.84,3821
485,8344,Zachery ZIEMEK,23 FEB 1993,USA,2,"Stade Pierre Paul Bernard, Talence (FRA)",23 JUN 2019,7.62,49.36,57.49,4:46.55,23.07,3792
486,8343,Steve FRITZ,01 NOV 1967,USA,5,Talence (FRA),11 SEP 1994,7.5,44.7,67.46,4:38.91,23.41,3871
486,8343,Chiel WARNERS,02 APR 1978,NED,5,"Olympic Stadium, Athina (GRE)",24 AUG 2004,7.74,43.73,55.39,4:38.05,23.71,3705
486,8343,Willem COERTZEN,30 DEC 1982,RSA,9,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,7.44,43.25,69.35,4:24.60,23.83,3980
486,8343,Ilya SHKURENYOV,11 JAN 1991,RUS,5,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,7.47,44.97,59.49,4:28.69,23.55,3866
490,8342,Pieter BRAUN,21 JAN 1993,NED,3,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,7.62,45.52,58.77,4:24.29,23.84,3914
491,8341,Willem COERTZEN,30 DEC 1982,RSA,2,"Stadionring, Ratingen (GER)",28 JUN 2015,7.48,43.94,68.79,4:26.52,23.59,4002
492,8340,André NIKLAUS,30 AUG 1981,GER,5,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,7.49,45.73,62.87,4:30.92,23.56,3902
493,8339,Jiří RYBA,15 JUN 1976,CZE,1,Desenzano del Garda (ITA),14 MAY 2000,6.83,45.26,61.55,4:12.14,23.73,3944
494,8337,Yordani GARCÍA,21 NOV 1988,CUB,1,La Habana (CUB),22 FEB 2014,7.22,42.54,64.69,4:33.36,23.31,3814
495,8336,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,Szczecin (POL),28 JUN 2009,7.54,43.01,61.56,4:32.60,23.85,3785
495,8336,Timothy DUCKWORTH,18 JUN 1996,GBR,1,"Eugene, OR (USA)",07 JUN 2018,8.01,42.76,57.27,5:01.27,23.55,3504
495,8336,Niklas KAUL,11 FEB 1998,GER,4,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,7.1,46.9,71.49,4:20.52,23.75,4065
495,8336,Daniel GOLUBOVIC,29 NOV 1993,AUS,1,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",19 DEC 2021,7.22,47.66,56.95,4:22.52,24.74,3742
499,8335,Adam Sebastian HELCELET,27 OCT 1991,CZE,4,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,7.32,44.35,68.04,4:43.69,23.63,3744
500,8334,Aleksey DROZDOV,03 DEC 1983,RUS,1,Cheboksary (RUS),10 JUN 2011,7.27,51.24,63.82,4:45.00,23.00,3869
500,8334,Pieter BRAUN,21 JAN 1993,NED,5,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,7.71,42.66,58.49,4:28.14,23.29,3903
500,8334,Cedric DUBLER,13 JAN 1995,AUS,1,"QSAC State Athletics Facility, Nathan, Brisbane (AUS)",17 DEC 2023,7.9,41.6,53.85,4:37.60,23.29,3741
503,8333,Paweł WIESIOŁEK,13 AUG 1991,POL,1,"Stadion Zygmunta Szelesta, Warszawa (POL)",27 JUN 2021,7.68,41.7,59.4,4:27.92,23.52,3863
503,8333,Kyle GARLAND,28 MAY 2000,USA,3,"Hayward Field, Eugene, OR (USA)",09 JUN 2022,7.51,42,55.88,4:41.96,23.68,3586
505,8332,Sebastian CHMARA,21 NOV 1971,POL,6,Götzis (AUT),31 MAY 1998,7.51,43.32,55.41,4:43.15,23.51,3612
505,8332,Jiří RYBA,15 JUN 1976,CZE,6,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,7.17,47.4,56.04,4:20.66,24.04,3831
505,8332,Maurice SMITH,28 SEP 1980,JAM,5,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,7.3,52.77,53.54,4:37.38,23.04,3848
505,8332,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,8,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,7.66,43.58,62.09,4:34.21,23.75,3822
509,8331,Torsten VOSS,24 MAR 1963,GDR,2,Götzis (AUT),24 MAY 1987,7.78,42.42,54.1,4:33.28,22.45,3900
509,8331,Vitaliy ZHUK,10 SEP 1996,BLR,4,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,7.29,44.98,65.16,4:35.05,23.98,3770
509,8331,Austin WEST,17 MAR 2000,USA,3,"Hayward Field, Eugene, OR (USA)",07 JUL 2023,7.35,42.45,59.65,4:20.98,24.20,3805
512,8330,Christian SCHENK,09 FEB 1965,GDR,5,Götzis (AUT),19 JUN 1988,7.71,44.86,61.38,4:16.02,23.33,4130
512,8330,Mikhail MEDVED,30 JAN 1964,URS,3,Kiev (URS),31 JUL 1988,7.46,45.32,64.5,4:41.26,23.08,3847
512,8330,Roman ŠEBRLE,26 NOV 1974,CZE,6,Götzis (AUT),01 JUN 1997,7.67,42.32,65.06,4:44.35,23.55,3743
515,8329,Kai KAZMIREK,28 JAN 1991,GER,4,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,7.56,43.76,61.53,4:30.75,24.18,3781
516,8328,Dave STEEN,14 NOV 1959,CAN,3,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,7.44,43.66,64.16,4:23.20,23.62,3960
517,8327,Marcus NILSSON,03 MAY 1991,SWE,4,"Olympiastadion, München (GER)",16 AUG 2022,7,46.06,66.69,4:18.51,23.74,3987
518,8326,Michael SMITH,16 SEP 1967,CAN,1,Victoria (CAN),24 AUG 1994,6.94,48.62,67.98,4:47.38,24.42,3588
518,8326,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2005,7.6,45.15,66.05,4:47.76,22.88,3841
518,8326,Maicel UIBO,27 DEC 1992,EST,1,"Starkville, MS (USA)",15 MAY 2015,7.44,48.33,56.92,4:28.57,23.35,3913
522,8324,Steve FRITZ,01 NOV 1967,USA,7,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,7.52,41.62,57.68,4:23.56,23.98,3796
524,8323,Tom PAPPAS,06 SEP 1976,USA,3,Brisbane (AUS),07 SEP 2001,7.24,45.43,62.19,4:57.10,23.35,3535
524,8323,Kevin MAYER,10 FEB 1992,FRA,2,"Stadionring, Ratingen (GER)",29 JUN 2014,7.33,38.41,64.01,4:25.18,23.67,3806
524,8323,Kai KAZMIREK,28 JAN 1991,GER,2,"Stadionring, Ratingen (GER)",26 JUN 2016,7.57,40.59,59.54,4:38.52,23.99,3626
524,8323,Kurt FELIX,04 JUL 1988,GRN,9,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,7.42,45.1,69.92,4:30.53,23.57,3978
528,8322,Uwe FREIMUTH,10 SEP 1961,GDR,2,Götzis (AUT),25 MAY 1986,7.57,47.98,64.78,4:29.22,22.92,4095
528,8322,Roman ŠEBRLE,26 NOV 1974,CZE,1,Tallinn (EST),29 JUN 1997,7.7,42.84,64.72,4:43.08,23.35,3797
528,8322,Rico FREIMUTH,14 MAR 1988,GER,4,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,7.16,47.26,58.05,4:40.55,23.11,3731
528,8322,Eelco SINTNICOLAAS,07 APR 1987,NED,1,Nottwil (SUI),30 JUN 2013,7.16,43.17,56.62,4:25.51,23.71,3743
528,8322,Jorge UREÑA,08 OCT 1993,ESP,9,"National Stadium, Tokyo (JPN)",05 AUG 2021,7.3,43.7,55.82,4:27.82,23.07,3829
533,8321,Aleksandr NEVSKIY,21 FEB 1958,URS,2,Krefeld (GER),08 SEP 1985,7.32,45.38,67.78,4:22.90,23.73,4006
533,8321,Oleksiy KASYANOV,26 AUG 1985,UKR,2,"Olympiastadion, Helsinki (FIN)",28 JUN 2012,7.49,47.75,52.37,4:32.66,22.83,3868
533,8321,Ilya SHKURENYOV,11 JAN 1991,ANA,2,"Olympiastadion, Berlin (GER)",08 AUG 2018,7.55,45.53,59.13,4:31.38,23.67,3838
536,8320,Gernot KELLERMAYR,05 APR 1966,AUT,4,Götzis (AUT),30 MAY 1993,7.66,42.5,58.24,4:54.78,23.12,3576
536,8320,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,2,Arles (FRA),05 JUN 2005,7.06,47.83,59.17,4:30.33,23.48,3814
536,8320,Rico FREIMUTH,14 MAR 1988,GER,6,"Olympic Stadium, London (GBR)",09 AUG 2012,7.21,49.11,57.37,4:37.62,24.04,3678
539,8319,Tom PAPPAS,06 SEP 1976,USA,1,"Indianapolis, IN (USA)",24 JUN 2006,7.47,49.78,55.68,4:59.50,23.61,3508
540,8318,Petri KESKITALO,10 MAR 1967,FIN,5,"National Stadium, Tokyo (JPN)",30 AUG 1991,7.58,44.22,69.22,4:46.03,22.75,3904
540,8318,Ramil GANIYEV,23 SEP 1968,UZB,8,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,7.61,44.86,53.7,4:42.72,23.09,3699
540,8318,Kai KAZMIREK,28 JAN 1991,GER,3,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,7.45,39.56,57.63,4:38.32,23.45,3629
543,8317,Erki NOOL,25 JUN 1970,EST,4,Götzis (AUT),30 MAY 2004,7.44,41.95,61.94,4:39.00,23.15,3763
543,8317,Leonel SUÁREZ,01 SEP 1987,CUB,10,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,7.33,46.41,68.61,4:23.87,23.83,4013
543,8317,Rico FREIMUTH,14 MAR 1988,GER,3,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,7.19,49.41,59.87,4:45.56,23.43,3698
546,8316,André NIKLAUS,30 AUG 1981,GER,4,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,7.2,46.13,61.74,4:28.93,23.57,3855
546,8316,Pascal BEHRENBRUCH,19 JAN 1985,GER,11,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,7.19,45.66,67.07,4:37.21,23.36,3844
548,8315,Lev LOBODIN,01 APR 1969,UKR,4,Götzis (AUT),26 MAY 1996,7.14,46.24,58.02,4:35.34,24.41,3598
548,8315,Maicel UIBO,27 DEC 1992,EST,2,"Tuscaloosa, AL (USA)",13 MAY 2016,7.36,44.92,64.2,4:27.91,22.75,4024
548,8315,Luiz Alberto DE ARAUJO,27 JUN 1987,BRA,10,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,7.48,45.1,57.28,4:31.46,24.01,3743
553,8314,Jan PODĚBRADSKÝ,01 MAR 1974,CZE,1,Arles (FRA),04 JUN 2000,7.2,43.51,55.92,4:17.69,23.34,3896
553,8314,Andrei KRAUCHANKA,04 JAN 1986,BLR,12,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,7.39,46.12,59.98,4:39.63,23.90,3693
555,8313,Tomáš DVOŘÁK,11 MAY 1972,CZE,3,Vénissieux (FRA),03 JUL 1994,7.75,41.04,62.16,4:32.67,24.68,3690
555,8313,Romain BARRAS,01 AUG 1980,FRA,1,Tallinn (EST),27 JUN 2010,7.13,45.43,63.71,4:25.03,23.72,3883
555,8313,Aleksey DROZDOV,03 DEC 1983,RUS,4,"DS, Daegu (KOR)",28 AUG 2011,7.45,50.29,64.8,4:41.73,23.57,3868
558,8312,Wilfrid BOULINEAU,13 MAY 1970,FRA,2,Arles (FRA),30 MAY 1999,7.63,41.43,62.38,4:24.79,23.74,3899
558,8312,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,"Stade Pierre Paul Bernard, Talence (FRA)",14 SEP 2008,7.72,41.54,61.45,4:39.13,23.41,3773
558,8312,Gunnar NIXON,13 JAN 1993,USA,13,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,7.8,42.38,57.97,4:35.82,23.38,3802
563,8311,Larbi BOURRADA,10 MAY 1988,ALG,1,"Le Grande Stade, Marrakesh (MAR)",11 AUG 2014,7.45,39.99,64.6,4:20.05,23.46,3962
565,8310,Klaus ISEKENMEIER,14 APR 1975,GER,2,Ratingen (GER),01 JUN 1997,7.69,45.84,61.3,4:40.27,23.39,3832
565,8310,Dennis LEYCKES,20 APR 1982,GER,3,"Stadionring, Ratingen (GER)",25 JUN 2006,7.07,45.36,60.54,4:38.93,23.42,3691
565,8310,Arthur ABELE,30 JUL 1986,GER,2,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2018,7.19,44.67,65.35,4:33.78,24.03,3754
565,8310,Ondřej KOPECKÝ,16 MAY 1998,CZE,1,"Eden, Praha (CZE)",05 JUN 2022,7.63,44.92,61.9,4:34.12,22.82,3964
569,8309,Dave JOHNSON,07 APR 1963,USA,3,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,7.33,49.12,62.86,4:36.63,24.05,3793
569,8309,Damian WARNER,04 NOV 1989,CAN,5,"Olympic Stadium, London (GBR)",12 AUG 2017,7.44,40.67,56.63,4:28.39,23.32,3775
571,8308,Keisuke USHIRO,24 JUL 1986,JPN,1,Nagano (JPN),01 JUN 2014,7.15,50.17,69.11,4:32.62,24.10,3904
571,8308,Rico FREIMUTH,14 MAR 1988,GER,7,"Letzigrund, Zürich (SUI)",13 AUG 2014,7.36,48.81,62.74,4:59.27,23.92,3527
573,8307,Antonio PEÑALVER,01 DEC 1968,ESP,9,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,7.27,48.92,57.08,4:37.71,23.31,3781
573,8307,Michael SMITH,16 SEP 1967,CAN,8,"Olympic Stadium, Athina (GRE)",06 AUG 1997,7.25,47.8,65.58,4:54.99,23.20,3675
573,8307,Scott FERRIER,12 JUN 1974,AUS,2,Kuala Lumpur (MAS),18 SEP 1998,7.59,43.99,58.95,4:55.65,23.43,3546
573,8307,Stefan SCHMID,06 MAY 1970,GER,7,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,7.43,43.16,65.13,4:33.98,23.77,3808
573,8307,Damian WARNER,04 NOV 1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",26 MAY 2013,7.4,42.99,62.84,4:37.37,23.43,3769
